Fecha Hora y Segundo,Clientes Cerca del Mostrador,Clientes Totales,X Cliente,Y Cliente,Empleados
2025-02-21 22:57:32,0,1,111.59501647949219,215.5701904296875,1
2025-02-21 22:57:32,0,1,111.485595703125,216.511962890625,1
2025-02-21 22:57:32,0,1,110.80345916748047,215.71791076660156,1
2025-02-21 22:57:32,0,1,111.04597473144531,215.45188903808594,1
2025-02-21 22:57:32,0,1,111.10484313964844,215.4436492919922,1
2025-02-21 22:57:32,0,1,111.02597045898438,215.35025024414062,1
2025-02-21 22:57:32,0,1,111.16754150390625,214.6457977294922,1
2025-02-21 22:57:32,0,1,111.13117218017578,214.69314575195312,1
2025-02-21 22:57:32,0,1,111.16616821289062,214.20005798339844,1
2025-02-21 22:57:33,0,1,111.12545776367188,214.16867065429688,1
2025-02-21 22:57:33,0,2,111.25538635253906,216.2110595703125,1
2025-02-21 22:57:33,0,1,111.32745361328125,216.80264282226562,1
2025-02-21 22:57:33,0,1,111.68082427978516,215.84500122070312,1
2025-02-21 22:57:33,0,1,111.73162841796875,215.72154235839844,1
2025-02-21 22:57:33,0,1,111.73208618164062,215.7389678955078,1
2025-02-21 22:57:33,0,2,111.67572021484375,215.8148193359375,1
2025-02-21 22:57:33,0,2,111.699951171875,214.80706787109375,1
2025-02-21 22:57:33,0,2,111.70387268066406,214.88543701171875,1
2025-02-21 22:57:33,0,2,111.79228973388672,216.15577697753906,1
2025-02-21 22:57:34,0,2,111.7956771850586,216.1822509765625,1
2025-02-21 22:57:34,0,2,111.79754638671875,216.060791015625,1
2025-02-21 22:57:34,0,2,111.76695251464844,215.33453369140625,1
2025-02-21 22:57:34,0,1,111.53202819824219,212.97305297851562,1
2025-02-21 22:57:34,0,1,111.6176528930664,212.92440795898438,1
2025-02-21 22:57:34,0,1,112.41621398925781,214.13856506347656,1
2025-02-21 22:57:34,0,1,112.34654235839844,214.48257446289062,1
2025-02-21 22:57:34,0,1,112.29815673828125,213.65841674804688,1
2025-02-21 22:57:34,0,1,112.28639221191406,213.77069091796875,1
2025-02-21 22:57:34,0,2,111.81382751464844,213.5379180908203,1
2025-02-21 22:57:35,0,2,111.82743072509766,213.554931640625,1
2025-02-21 22:57:35,0,1,112.05650329589844,213.7849884033203,1
2025-02-21 22:57:35,0,1,112.03073120117188,213.4006805419922,1
2025-02-21 22:57:35,0,1,112.03448486328125,213.46978759765625,1
2025-02-21 22:57:35,0,1,112.02969360351562,213.3331298828125,1
2025-02-21 22:57:35,0,1,112.03308868408203,213.4075927734375,1
2025-02-21 22:57:35,0,1,111.82164001464844,212.70985412597656,1
2025-02-21 22:57:35,0,1,112.0234375,214.4556884765625,1
2025-02-21 22:57:35,0,1,111.94454956054688,214.4924774169922,1
2025-02-21 22:57:35,0,1,111.9146957397461,214.33065795898438,1
2025-02-21 22:57:36,0,1,111.89089965820312,214.29632568359375,1
2025-02-21 22:57:36,0,1,112.11039733886719,214.87396240234375,1
2025-02-21 22:57:36,0,1,111.95536041259766,214.93017578125,1
2025-02-21 22:57:36,0,1,111.78767395019531,210.63348388671875,1
2025-02-21 22:57:36,0,1,111.78739929199219,210.63510131835938,1
2025-02-21 22:57:36,0,1,111.78732299804688,210.6350555419922,1
2025-02-21 22:57:36,0,1,111.7935791015625,211.59625244140625,1
2025-02-21 22:57:36,0,2,112.83108520507812,213.3829345703125,1
2025-02-21 22:57:36,0,2,113.09764862060547,213.42898559570312,1
2025-02-21 22:57:36,0,1,113.57694244384766,215.17514038085938,1
2025-02-21 22:57:37,0,1,113.4579086303711,215.2366943359375,1
2025-02-21 22:57:37,0,1,113.53863525390625,215.86276245117188,1
2025-02-21 22:57:37,0,1,113.4647445678711,215.08270263671875,1
2025-02-21 22:57:37,0,1,113.34281921386719,215.84219360351562,1
2025-02-21 22:57:37,0,1,113.3388442993164,215.7957763671875,1
2025-02-21 22:57:37,0,1,113.33777618408203,215.79635620117188,1
